iter	Passed	Remaining
0	3	363
1	7	350
2	10	342
3	13	326
4	17	331
5	20	315
6	22	299
7	24	280
8	26	266
9	28	252
10	28	234
11	29	217
12	30	205
13	31	192
14	32	182
15	32	171
16	33	162
17	33	154
18	34	147
19	35	141
20	35	134
21	36	129
22	37	124
23	37	120
24	38	115
25	39	111
26	39	107
27	40	104
28	41	101
29	42	98
30	42	95
31	43	92
32	44	89
33	44	86
34	45	84
35	46	82
36	46	79
37	47	77
38	48	75
39	48	73
40	49	71
41	49	68
42	50	67
43	51	65
44	52	63
45	52	62
46	53	60
47	54	59
48	55	57
49	55	55
50	56	54
51	56	52
52	57	51
53	58	49
54	58	47
55	59	46
56	59	45
57	60	43
58	60	42
59	61	41
60	62	39
61	62	38
62	63	37
63	64	36
64	65	35
65	65	33
66	66	32
67	67	31
68	67	30
69	68	29
70	68	28
71	69	27
72	70	25
73	70	24
74	71	23
75	71	22
76	72	21
77	72	20
78	73	19
79	74	18
80	74	17
81	75	16
82	76	15
83	76	14
84	77	13
85	78	12
86	78	11
87	79	10
88	80	9
89	81	9
90	81	8
91	82	7
92	82	6
93	83	5
94	84	4
95	84	3
96	85	2
97	85	1
98	86	0
99	87	0
