iter	Passed	Remaining
0	147	146873
1	147	73832
2	148	49442
3	149	37235
4	150	29901
5	151	25026
6	151	21524
7	152	18907
8	153	16869
9	153	15236
10	154	13890
11	155	12774
12	155	11829
13	156	11020
14	157	10322
15	157	9707
16	158	9165
17	159	8685
18	159	8253
19	160	7865
20	161	7522
21	162	7205
22	162	6913
23	163	6644
24	164	6398
25	164	6167
26	165	5954
27	165	5756
28	166	5572
29	167	5399
30	167	5238
31	168	5090
32	168	4948
33	169	4814
34	170	4688
35	170	4569
36	171	4456
37	171	4351
38	172	4249
39	173	4153
40	173	4061
41	174	3974
42	174	3892
43	175	3814
44	176	3740
45	176	3669
46	177	3601
47	178	3536
48	178	3473
49	179	3412
50	180	3353
51	180	3297
52	181	3243
53	182	3194
54	182	3142
55	183	3092
56	183	3043
57	184	2997
58	185	2953
59	185	2909
60	186	2868
61	187	2829
62	187	2790
63	188	2753
64	188	2718
65	189	2682
66	190	2651
67	191	2618
68	191	2586
69	192	2555
70	192	2524
71	193	2494
72	194	2464
73	194	2435
74	195	2408
75	196	2383
76	196	2357
77	197	2332
78	197	2306
79	198	2282
80	199	2259
81	199	2235
82	200	2210
83	200	2187
84	201	2165
85	201	2144
86	202	2123
87	202	2103
88	203	2083
89	204	2063
90	204	2045
91	205	2027
92	206	2009
93	206	1992
94	207	1975
95	207	1958
96	208	1941
97	209	1925
98	209	1909
99	210	1894
100	211	1878
101	211	1863
102	212	1848
103	212	1833
104	213	1818
105	214	1805
106	214	1791
107	215	1778
108	215	1765
109	216	1752
110	217	1739
111	217	1727
112	218	1715
113	219	1703
114	219	1692
115	220	1681
116	221	1668
117	221	1657
118	222	1645
119	222	1634
120	223	1623
121	223	1612
122	224	1601
123	225	1591
124	225	1580
125	226	1570
126	226	1559
127	227	1549
128	228	1539
129	228	1529
130	229	1520
131	229	1510
132	230	1501
133	231	1493
134	231	1484
135	232	1476
136	233	1468
137	233	1459
138	234	1453
139	235	1445
140	235	1437
141	236	1428
142	236	1419
143	237	1411
144	238	1404
145	238	1396
146	239	1388
147	239	1381
148	240	1373
149	241	1366
150	241	1358
151	242	1351
152	242	1344
153	243	1337
154	244	1330
155	244	1324
156	245	1318
157	246	1312
158	246	1305
159	247	1298
160	247	1291
161	248	1285
162	249	1279
163	249	1273
164	250	1267
165	251	1261
166	251	1255
167	252	1249
168	253	1244
169	253	1238
170	254	1232
171	254	1226
172	255	1220
173	256	1215
174	256	1209
175	257	1204
176	257	1198
177	258	1192
178	258	1187
179	259	1183
180	260	1178
181	261	1173
182	261	1168
183	262	1162
184	262	1157
185	263	1152
186	264	1148
187	264	1143
188	265	1138
189	265	1133
190	266	1129
191	267	1124
192	267	1119
193	268	1115
194	269	1110
195	269	1106
196	270	1101
197	270	1097
198	271	1092
199	272	1088
200	272	1084
201	273	1080
202	273	1075
203	274	1071
204	275	1067
205	275	1062
206	276	1058
207	276	1054
208	277	1050
209	278	1045
210	278	1042
211	279	1038
212	280	1034
213	280	1031
214	281	1027
215	282	1024
216	282	1020
217	283	1016
218	283	1012
219	284	1008
220	284	1004
221	285	1001
222	286	997
223	286	993
224	287	991
225	288	987
226	288	984
227	289	980
228	290	977
229	290	973
230	291	970
231	292	966
232	292	963
233	293	959
234	293	956
235	294	953
236	295	950
237	295	947
238	296	944
239	297	940
240	297	937
241	298	934
242	298	930
243	299	927
244	300	924
245	300	921
246	301	918
247	302	915
248	302	912
249	303	909
250	303	906
251	304	903
252	304	900
253	305	897
254	306	894
255	306	891
256	307	888
257	308	886
258	308	883
259	309	880
260	309	877
261	310	874
262	311	871
263	311	869
264	312	866
265	312	863
266	313	861
267	314	858
268	314	855
269	315	852
270	316	850
271	316	847
272	317	844
273	317	841
274	318	839
275	318	836
276	319	834
277	320	831
278	320	828
279	321	826
280	321	823
281	322	821
282	323	819
283	323	816
284	324	813
285	325	811
286	325	808
287	326	806
288	326	804
289	327	801
290	327	799
291	328	796
292	329	794
293	329	791
294	330	789
295	330	786
296	331	784
297	332	782
298	332	779
299	333	777
300	333	775
301	334	773
302	335	770
303	335	768
304	336	766
305	336	764
306	337	762
307	338	760
308	338	757
309	339	755
310	340	753
311	340	751
312	341	749
313	341	746
314	342	744
315	342	742
316	343	740
317	344	738
318	344	736
319	345	734
320	346	732
321	346	730
322	347	728
323	347	725
324	348	724
325	349	722
326	349	720
327	350	718
328	351	715
329	351	714
330	352	712
331	353	710
332	353	708
333	354	706
334	355	704
335	355	702
336	356	700
337	356	699
338	357	697
339	358	695
340	358	693
341	359	691
342	360	689
343	360	687
344	361	686
345	361	684
346	362	682
347	362	680
348	363	678
349	364	676
350	364	674
351	366	673
352	366	672
353	367	671
354	368	669
355	369	667
356	369	665
357	370	664
358	370	662
359	371	660
360	372	658
361	372	657
362	373	655
363	374	653
364	374	651
365	375	650
366	375	648
367	376	646
368	377	644
369	377	642
370	378	641
371	378	639
372	379	637
373	380	636
374	380	634
375	381	632
376	382	631
377	382	629
378	383	628
379	384	626
380	384	625
381	385	623
382	386	621
383	386	620
384	387	618
385	388	617
386	388	615
387	389	613
388	389	612
389	390	610
390	390	608
391	391	607
392	392	605
393	392	604
394	393	602
395	393	600
396	394	599
397	395	597
398	395	595
399	396	594
400	396	592
401	397	591
402	398	589
403	398	588
404	399	586
405	399	585
406	400	583
407	400	581
408	401	580
409	402	578
410	402	577
411	403	575
412	403	574
413	404	572
414	404	570
415	405	569
416	405	567
417	406	565
418	407	564
419	407	562
420	408	561
421	408	559
422	409	558
423	409	556
424	410	555
425	410	553
426	411	552
427	411	550
428	412	549
429	413	547
430	413	546
431	414	544
432	414	543
433	415	541
434	416	540
435	416	538
436	417	537
437	417	535
438	418	534
439	418	532
440	419	531
441	419	529
442	420	528
443	420	526
444	421	525
445	422	524
446	422	522
447	423	521
448	423	519
449	424	518
450	424	516
451	425	515
452	426	514
453	426	513
454	427	511
455	427	510
456	428	509
457	429	507
458	429	506
459	430	504
460	430	503
461	431	502
462	431	500
463	432	499
464	432	497
465	433	496
466	433	495
467	434	493
468	434	492
469	435	491
470	436	489
471	436	488
472	437	487
473	437	485
474	438	484
475	438	482
476	439	481
477	439	480
478	440	478
479	440	477
480	441	476
481	442	475
482	442	473
483	443	472
484	443	471
485	444	470
486	445	468
487	445	467
488	446	466
489	446	464
490	447	463
491	447	462
492	448	461
493	448	459
494	449	458
495	449	457
496	450	455
497	451	454
498	451	453
499	452	452
500	452	450
501	453	449
502	453	448
503	454	447
504	454	445
505	455	444
506	456	443
507	456	442
508	457	441
509	457	439
510	458	438
511	458	437
512	459	436
513	459	434
514	460	433
515	461	432
516	461	431
517	462	430
518	462	428
519	463	427
520	463	426
521	464	425
522	464	424
523	465	422
524	465	421
525	466	420
526	467	419
527	467	417
528	468	416
529	468	415
530	469	414
531	469	413
532	470	412
533	471	411
534	471	410
535	472	409
536	473	407
537	473	406
538	474	405
539	474	404
540	475	403
541	475	402
542	476	400
543	476	399
544	477	398
545	477	397
546	478	396
547	479	395
548	479	394
549	480	392
550	480	391
551	481	390
552	481	389
553	482	388
554	482	387
555	483	386
556	483	384
557	484	383
558	485	382
559	486	381
560	486	380
561	487	379
562	487	378
563	488	377
564	488	376
565	489	375
566	490	374
567	490	373
568	491	372
569	492	371
570	492	370
571	493	369
572	494	368
573	494	367
574	495	365
575	495	364
576	496	363
577	496	362
578	497	361
579	498	360
580	498	359
581	499	358
582	500	357
583	500	356
584	501	355
585	502	354
586	502	353
587	503	352
588	504	351
589	504	350
590	505	349
591	506	348
592	507	348
593	507	347
594	508	346
595	509	345
596	509	344
597	510	343
598	511	342
599	511	341
600	512	340
601	513	339
602	513	338
603	514	337
604	515	336
605	516	335
606	516	334
607	517	333
608	517	332
609	518	331
610	518	330
611	519	329
612	519	328
613	520	327
614	521	326
615	521	325
616	522	324
617	522	323
618	523	322
619	523	321
620	524	320
621	524	318
622	525	317
623	525	316
624	526	315
625	527	314
626	527	313
627	528	312
628	528	311
629	529	310
630	530	309
631	530	309
632	531	307
633	531	306
634	532	305
635	532	304
636	533	303
637	533	302
638	534	301
639	534	300
640	535	299
641	536	298
642	536	297
643	537	296
644	537	296
645	538	295
646	539	294
647	539	293
648	540	292
649	540	291
650	541	290
651	541	289
652	542	288
653	543	287
654	543	286
655	544	285
656	545	284
657	545	283
658	546	282
659	546	281
660	547	280
661	547	279
662	548	278
663	549	277
664	549	276
665	550	275
666	550	275
667	551	274
668	552	273
669	552	272
670	553	271
671	553	270
672	554	269
673	554	268
674	555	267
675	555	266
676	556	265
677	556	264
678	557	263
679	558	262
680	558	261
681	559	260
682	560	259
683	560	259
684	561	258
685	561	257
686	562	256
687	563	255
688	563	254
689	564	253
690	564	252
691	565	251
692	565	250
693	566	249
694	567	248
695	567	247
696	568	246
697	568	246
698	569	245
699	569	244
700	570	243
701	570	242
702	571	241
703	571	240
704	572	239
705	573	238
706	573	237
707	574	236
708	575	236
709	575	235
710	576	234
711	576	233
712	577	232
713	577	231
714	578	230
715	579	229
716	579	228
717	580	227
718	580	226
719	581	226
720	581	225
721	582	224
722	582	223
723	583	222
724	583	221
725	584	220
726	584	219
727	585	218
728	586	217
729	586	216
730	587	216
731	587	215
732	588	214
733	588	213
734	589	212
735	590	211
736	590	210
737	591	209
738	591	209
739	592	208
740	592	207
741	593	206
742	594	205
743	594	204
744	595	203
745	595	202
746	596	201
747	596	201
748	597	200
749	597	199
750	598	198
751	598	197
752	599	196
753	599	195
754	600	194
755	600	193
756	601	193
757	602	192
758	602	191
759	603	190
760	604	189
761	604	188
762	605	188
763	606	187
764	606	186
765	607	185
766	607	184
767	608	183
768	609	182
769	609	182
770	610	181
771	610	180
772	611	179
773	611	178
774	612	177
775	612	176
776	613	176
777	613	175
778	614	174
779	614	173
780	615	172
781	615	171
782	616	170
783	617	169
784	617	169
785	618	168
786	618	167
787	619	166
788	620	165
789	620	164
790	621	164
791	621	163
792	622	162
793	622	161
794	623	160
795	623	159
796	624	159
797	624	158
798	625	157
799	625	156
800	626	155
801	626	154
802	627	153
803	627	153
804	628	152
805	628	151
806	629	150
807	630	149
808	630	148
809	631	148
810	631	147
811	632	146
812	633	145
813	634	144
814	634	144
815	635	143
816	635	142
817	636	141
818	637	140
819	637	139
820	638	139
821	638	138
822	639	137
823	639	136
824	640	135
825	640	134
826	641	134
827	642	133
828	642	132
829	643	131
830	643	130
831	644	130
832	644	129
833	645	128
834	645	127
835	646	126
836	647	126
837	647	125
838	648	124
839	649	123
840	649	122
841	650	122
842	650	121
843	651	120
844	651	119
845	652	118
846	652	117
847	653	117
848	653	116
849	654	115
850	655	114
851	655	113
852	656	113
853	656	112
854	657	111
855	657	110
856	658	109
857	658	109
858	659	108
859	660	107
860	660	106
861	661	105
862	662	105
863	662	104
864	663	103
865	663	102
866	664	101
867	664	101
868	665	100
869	666	99
870	666	98
871	667	97
872	667	97
873	668	96
874	668	95
875	669	94
876	669	93
877	670	93
878	670	92
879	671	91
880	671	90
881	672	89
882	672	89
883	673	88
884	674	87
885	674	86
886	675	86
887	675	85
888	676	84
889	677	83
890	677	82
891	678	82
892	678	81
893	679	80
894	679	79
895	680	78
896	680	78
897	681	77
898	681	76
899	682	75
900	682	75
901	683	74
902	684	73
903	684	72
904	685	71
905	685	71
906	686	70
907	686	69
908	687	68
909	687	68
910	688	67
911	688	66
912	689	65
913	689	64
914	690	64
915	691	63
916	691	62
917	692	61
918	692	61
919	693	60
920	693	59
921	694	58
922	694	57
923	695	57
924	695	56
925	696	55
926	696	54
927	697	54
928	698	53
929	698	52
930	699	51
931	699	51
932	700	50
933	700	49
934	701	48
935	701	47
936	702	47
937	702	46
938	703	45
939	704	44
940	704	44
941	705	43
942	705	42
943	706	41
944	706	41
945	707	40
946	707	39
947	708	38
948	708	38
949	709	37
950	710	36
951	710	35
952	711	35
953	711	34
954	712	33
955	712	32
956	713	32
957	713	31
958	714	30
959	715	29
960	715	29
961	716	28
962	716	27
963	717	26
964	717	26
965	718	25
966	718	24
967	719	23
968	720	23
969	720	22
970	721	21
971	721	20
972	722	20
973	722	19
974	723	18
975	723	17
976	724	17
977	725	16
978	725	15
979	726	14
980	726	14
981	727	13
982	727	12
983	728	11
984	728	11
985	729	10
986	730	9
987	730	8
988	731	8
989	731	7
990	732	6
991	732	5
992	733	5
993	733	4
994	734	3
995	735	2
996	735	2
997	736	1
998	736	0
999	737	0
